Entidad_federativa,Municipio,Anio,Superficie_ha,Entidad,Fecha
Campeche,Campeche,2019,33677.14,Campeche,2019-01-01
Campeche,Campeche,2020,33677.14,Campeche,2020-01-01
Campeche,Campeche,2021,37521.85,Campeche,2021-01-01
Campeche,Campeche,2022,38607.449999999997,Campeche,2022-01-01
Campeche,Calakmul,2018,79724,Campeche,2018-01-01
Campeche,Calakmul,2019,54724,Campeche,2019-01-01
Campeche,Calakmul,2020,46165.599999999999,Campeche,2020-01-01
Campeche,Calakmul,2021,46165.599999999999,Campeche,2021-01-01
Campeche,Calakmul,2022,46165.599999999999,Campeche,2022-01-01
Chiapas,Ángel Albino Corzo,2022,1661.93,Chiapas,2022-01-01
Chiapas,Cintalapa,2018,614,Chiapas,2018-01-01
Chiapas,Cintalapa,2020,1057,Chiapas,2020-01-01
Chiapas,Cintalapa,2021,1057,Chiapas,2021-01-01
Chiapas,La Concordia,2018,491.66,Chiapas,2018-01-01
Chiapas,Jitotol,2018,136.30000000000001,Chiapas,2018-01-01
Chiapas,Jitotol,2019,136.30000000000001,Chiapas,2019-01-01
Chihuahua,Balleza,2018,149128.34,Chihuahua,2018-01-01
Chihuahua,Balleza,2019,113367.64,Chihuahua,2019-01-01
Chihuahua,Balleza,2020,161275.64000000001,Chihuahua,2020-01-01
Chihuahua,Balleza,2021,102725.64,Chihuahua,2021-01-01
Chihuahua,Balleza,2022,70828,Chihuahua,2022-01-01
Chihuahua,Batopilas,2022,26811,Chihuahua,2022-01-01
Chihuahua,Bocoyna,2018,94742.91,Chihuahua,2018-01-01
Chihuahua,Bocoyna,2019,37075.64,Chihuahua,2019-01-01
Chihuahua,Bocoyna,2020,31990.86,Chihuahua,2020-01-01
Chihuahua,Bocoyna,2021,94312.54,Chihuahua,2021-01-01
Chihuahua,Bocoyna,2022,97530.54,Chihuahua,2022-01-01
Chihuahua,Carichí,2018,9588.4,Chihuahua,2018-01-01
Chihuahua,Carichí,2019,9588.4,Chihuahua,2019-01-01
Chihuahua,Carichí,2020,9588.4,Chihuahua,2020-01-01
Chihuahua,Guachochi,2018,206918.77,Chihuahua,2018-01-01
Chihuahua,Guachochi,2019,193317.47,Chihuahua,2019-01-01
Chihuahua,Guachochi,2020,219926.47,Chihuahua,2020-01-01
Chihuahua,Guachochi,2021,118121.06,Chihuahua,2021-01-01
Chihuahua,Guachochi,2022,72514.009999999995,Chihuahua,2022-01-01
Chihuahua,Guadalupe y Calvo,2018,384179.36,Chihuahua,2018-01-01
Chihuahua,Guadalupe y Calvo,2019,140097.91,Chihuahua,2019-01-01
Chihuahua,Guadalupe y Calvo,2020,211308.15,Chihuahua,2020-01-01
Chihuahua,Guadalupe y Calvo,2021,190015,Chihuahua,2021-01-01
Chihuahua,Guadalupe y Calvo,2022,205078,Chihuahua,2022-01-01
Chihuahua,Guerrero,2018,27056.27,Chihuahua,2018-01-01
Chihuahua,Guerrero,2019,13289.5,Chihuahua,2019-01-01
Chihuahua,Guerrero,2020,23462.5,Chihuahua,2020-01-01
Chihuahua,Guerrero,2021,19173,Chihuahua,2021-01-01
Chihuahua,Guerrero,2022,15868,Chihuahua,2022-01-01
Chihuahua,Janos,2018,22853.33,Chihuahua,2018-01-01
Chihuahua,Janos,2019,22853.33,Chihuahua,2019-01-01
Chihuahua,Janos,2020,22853.33,Chihuahua,2020-01-01
Chihuahua,Janos,2021,23238,Chihuahua,2021-01-01
Chihuahua,Janos,2022,23238,Chihuahua,2022-01-01
Chihuahua,Madera,2018,383788.75,Chihuahua,2018-01-01
Chihuahua,Madera,2019,344840.84,Chihuahua,2019-01-01
Chihuahua,Madera,2020,334276.3,Chihuahua,2020-01-01
Chihuahua,Madera,2021,279943.55,Chihuahua,2021-01-01
Chihuahua,Madera,2022,280732.55,Chihuahua,2022-01-01
Chihuahua,Maguarichi,2021,4213,Chihuahua,2021-01-01
Chihuahua,Maguarichi,2022,4213,Chihuahua,2022-01-01
Chihuahua,Ocampo,2018,22882.94,Chihuahua,2018-01-01
Chihuahua,Ocampo,2019,18590,Chihuahua,2019-01-01
Chihuahua,Ocampo,2020,44139.87,Chihuahua,2020-01-01
Chihuahua,Ocampo,2021,48415.87,Chihuahua,2021-01-01
Chihuahua,Ocampo,2022,60562.59,Chihuahua,2022-01-01
Chihuahua,Temósachic,2019,25549,Chihuahua,2019-01-01
